year,SumTrade,CountTradeRela,numCountry
1947.0,9389.032971270519,449.0,62.0
1948.0,24479.72831698957,2173.0,70.0
1949.0,22434.64383144776,2241.0,72.0
1950.0,20608.680150505967,2323.0,74.0
1951.0,28429.58005469296,2434.0,75.0
1952.0,29912.703051584675,2550.0,77.0
1953.0,27313.989937761013,2654.0,78.0
1954.0,28875.039952301868,2760.0,80.0
1955.0,42735.080894119856,3010.0,83.0
1956.0,48365.97982385795,3242.0,85.0
1957.0,54450.48002827262,3376.0,87.0
1958.0,45877.629945595785,3347.0,88.0
1959.0,47120.039667235054,3320.0,87.0
1960.0,46582.0859862768,4760.0,106.0
1961.0,49687.85695169015,5158.0,110.0
1962.0,53314.37609259898,5648.0,116.0
1963.0,59062.05586548344,5835.0,117.0
1964.0,67543.69347630625,6106.0,120.0
1965.0,72259.13818746316,6366.0,124.0
1966.0,79853.67497899063,6751.0,128.0
1967.0,84866.98495154458,6880.0,129.0
1968.0,93481.80837803335,7169.0,132.0
1969.0,104859.5808848858,7146.0,132.0
1970.0,123129.42649171791,7300.0,133.0
1971.0,133301.68716738737,7734.0,138.0
1972.0,154010.11328029586,7780.0,138.0
1973.0,216786.62250549678,7924.0,139.0
1974.0,314164.83856032335,8066.0,141.0
1975.0,343912.8725856217,8563.0,148.0
1976.0,372536.69373457454,8642.0,150.0
1977.0,422940.48986802925,8735.0,151.0
1978.0,486914.1764662086,8852.0,153.0
1979.0,615693.029850403,8900.0,155.0
1980.0,780525.8478684352,8975.0,155.0
1981.0,797933.2981489918,9495.0,158.0
1982.0,740796.8260223368,9533.0,159.0
1983.0,712343.1251627444,9602.0,160.0
1984.0,730451.5041272566,9724.0,161.0
1985.0,730694.6433146826,9783.0,161.0
1986.0,753984.5104193474,9849.0,161.0
1987.0,875969.8176772444,10061.0,161.0
1988.0,1031521.8598778724,10093.0,161.0
1989.0,1132775.9075082047,10145.0,161.0
1990.0,1602561.0416329475,10227.0,163.0
1991.0,1678578.547911824,10386.0,160.0
1992.0,1778570.0166518888,11506.0,174.0
1993.0,1702897.3175237037,12255.0,180.0
1994.0,1945904.3780162209,12582.0,181.0
1995.0,2370306.7377235293,12734.0,181.0
1996.0,2488146.958607812,12939.0,181.0
1997.0,2591099.8112397846,13048.0,179.0
1998.0,2502228.996960499,13191.0,179.0
1999.0,2628767.219265865,13549.0,182.0
2000.0,2920668.490722377,14386.0,183.0
2001.0,2804754.8777130838,14386.0,183.0
2002.0,2877108.523798835,14386.0,183.0
2003.0,3355229.808416457,14386.0,183.0
2004.0,4111677.9450417487,14386.0,183.0
2005.0,4644896.541641201,14386.0,183.0
2006.0,5374265.744754533,14563.0,184.0
2007.0,6339221.601193407,14563.0,184.0
2008.0,7474101.9782371335,14608.0,185.0
2009.0,5786056.370830363,14608.0,185.0
2010.0,6932309.001037151,14609.0,185.0
2011.0,8419244.575102467,14615.0,186.0
2012.0,8552075.304575428,14615.0,186.0
2013.0,8695167.859227622,14615.0,186.0
2014.0,8740704.827678664,14615.0,186.0
